screening_date,company,symbol,exchange,listing_board,sector,industry,current_price_inr,price_date,market_cap_inr_cr,market_cap_date,liquidity_metric_name,liquidity_value_inr_cr,liquidity_period,eligible_flag,exclusion_code,exclusion_reason,primary_archetype,classification_rationale,secondary_tags,technical_stage,technical_data_date,revenue_cagr_5y_pct,normalized_eps_cagr_5y_pct,latest_roce_or_roe_pct,median_roce_or_roe_5y_pct,net_debt_to_equity,cfo_pat_period,cfo_pat_ratio,preliminary_valuation_method,preliminary_valuation_value,preliminary_priority_score,inclusion_reason,key_disqualifying_risk,data_quality_confidence,primary_source_ids,secondary_source_ids,phase2_priority,phase2_questions,required_primary_documents,known_data_gaps
2026-08-11,Action Construction Equipment Ltd,ACE,NSE,Main Board,Capital Goods,Capital Goods,1113.0,2026-08-10,13242.0,2026-08-10,3-month median daily traded value,36.275,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 32%; 5y revenue CAGR 22%; 5y EPS CAGR 38%; cumulative CFO/PAT 1.15,PEAD candidate|Peak-cycle risk,Early Stage 1,2026-08-10,21.73230801051187,37.74454587040916,31.7,32.0,0.003978120338140228,Mar 2022-Mar 2026,1.1468531468531469,Trailing P/E vs 3-5y EPS CAGR (preliminary),30.3,82.7,5y median ROCE 32%; 5y revenue CAGR 22%; 5y EPS CAGR 38%; cumulative CFO/PAT 1.15,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,ACE-SCR-01|ACE-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Multi Commodity Exchange of India Ltd,MCX,NSE,Main Board,Financial Services,Financial Services,2762.0,2026-08-10,70110.0,2026-08-10,3-month median daily traded value,754.693,13-week median of weekly traded value / 5,1,,,Financial compounder,ROE 56.3%; 5y EPS CAGR 43%,Earnings-upgrade candidate|Operating-leverage inflection|Peak-cycle risk,Early Stage 2,2026-08-10,42.55606940767072,42.683985854064076,56.3,28.0,,Mar 2022-Mar 2026,,P/B vs ROE (preliminary),45.5,81.7,ROE 56.3%; 5y EPS CAGR 43%,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,MCX-SCR-01|MCX-PXW-01,High,"Is ROE sustainable on current capital, and what dilution is required to fund growth? | What are GNPA/NNPA, provision coverage, and credit-cost trend through the cycle? | What is the funding franchise - cost of funds trajectory and liability mix?",Annual report asset-quality and capital-adequacy disclosures; quarterly investor presentation; credit-rating rationale,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Acutaas Chemicals Ltd,ACUTAAS,NSE,Main Board,Healthcare,Healthcare,3273.0,2026-08-10,26797.0,2026-08-10,3-month median daily traded value,145.483,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 29%; 3y EPS CAGR 56%; latest quarter revenue +42% YoY,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|PEAD candidate|Peak-cycle risk,Early Stage 2,2026-08-10,31.463514871210975,38.39539905554592,31.6,21.0,0.02176541717049577,Mar 2022-Mar 2026,0.8180555555555555,Trailing P/E vs 3-5y EPS CAGR (preliminary),69.3,81.6,3y revenue CAGR 29%; 3y EPS CAGR 56%; latest quarter revenue +42% YoY,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,ACUTAAS-SCR-01|ACUTAAS-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,TajGVK Hotels & Resorts Ltd,TAJGVK,NSE,Main Board,Not disclosed,Not disclosed,353.0,2026-08-10,2217.0,2026-08-10,3-month median daily traded value,2.803,13-week median of weekly traded value / 5,1,,,High-growth company,3y EPS CAGR 64%; latest quarter revenue +49% YoY,Earnings-upgrade candidate|Capex commissioning|PEAD candidate|Governance risk|Value-trap risk,Early Stage 1,2026-08-10,40.135178721426755,,13.2,19.0,0.1248780487804878,Mar 2022-Mar 2026,0.7902097902097902,Trailing P/E vs 3-5y EPS CAGR (preliminary),15.4,81.6,3y EPS CAGR 64%; latest quarter revenue +49% YoY,Promoter stake down 4.0pp over 4 quarters,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,TAJGVK-SCR-01|TAJGVK-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,5y EPS CAGR not computable (negative or zero base year); Other income >35% of PBT - EPS provisional; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Steel Authority of India Ltd,SAIL,NSE,Main Board,Metals & Mining,Metals & Mining,173.0,2026-08-10,71592.0,2026-08-10,3-month median daily traded value,294.981,13-week median of weekly traded value / 5,1,,,Cyclical recovery,OPM 10.0pp below 5y peak; PAT 72% below 5y peak; quarterly OPM +5.0pp YoY - margin inflecting,Earnings-upgrade candidate|Capex commissioning|Operating-leverage inflection|Margin-recovery candidate|Debt-reduction story,Early Stage 2,2026-08-10,9.901436514133422,-4.038358404162956,7.79,8.0,0.5289946318510172,Mar 2022-Mar 2026,2.4776601239669422,Trailing P/E vs 3-5y EPS CAGR (preliminary),14.8,81.3,OPM 10.0pp below 5y peak; PAT 72% below 5y peak; quarterly OPM +5.0pp YoY - margin inflecting,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,SAIL-SCR-01|SAIL-PXW-01,High,"Where is the cycle versus mid-cycle margin, and what capacity is still being added industry-wide? | Is the improvement demand-led or a one-off inventory/input-cost effect? | Does the balance sheet survive another 4-6 quarters at trough spreads?",Annual report segment/realisation data; quarterly results; industry capacity data; credit-rating rationale,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Cemindia Projects Ltd,CEMPRO,NSE,Main Board,Construction,Construction,1268.0,2026-08-10,21764.0,2026-08-10,3-month median daily traded value,90.835,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 27%; 5y revenue CAGR 30%; 5y EPS CAGR 107%; cumulative CFO/PAT 1.53,Governance risk|Earnings-upgrade candidate|Operating-leverage inflection|PEAD candidate|Debt-reduction story|Peak-cycle risk,Mature/extended Stage 2,2026-08-10,29.825306507248506,106.79180322555437,32.8,27.0,0.41725719049604004,Mar 2022-Mar 2026,1.527449617790132,Trailing P/E vs 3-5y EPS CAGR (preliminary),36.2,81.3,5y median ROCE 27%; 5y revenue CAGR 30%; 5y EPS CAGR 107%; cumulative CFO/PAT 1.53,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,CEMPRO-SCR-01|CEMPRO-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Krishna Defence & Allied Industries Ltd,KRISHNADEF,NSE,Main Board,Not disclosed,Not disclosed,1186.0,2026-08-10,1773.0,2026-08-10,3-month median daily traded value,14.99,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 56%; 3y EPS CAGR 81%; latest quarter revenue +25% YoY,Governance risk|Earnings-upgrade candidate|Operating-leverage inflection|Peak-cycle risk,Early Stage 2,2026-08-10,,,30.7,24.0,0.010309278350515464,Mar 2024-Mar 2026,,Trailing P/E vs 3-5y EPS CAGR (preliminary),42.9,80.9,3y revenue CAGR 56%; 3y EPS CAGR 81%; latest quarter revenue +25% YoY,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,KRISHNADEF-SCR-01|KRISHNADEF-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,5y revenue CAGR not computable (short/loss-making history); 5y EPS CAGR not computable (negative or zero base year); cumulative CFO/PAT unavailable; nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Petronet LNG Ltd,PETRONET,NSE,Main Board,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,280.0,2026-08-10,42347.0,2026-08-10,3-month median daily traded value,60.893,13-week median of weekly traded value / 5,1,,,Mature value/yield company,dividend yield 3.6%; FCF positive in 5 of last 5 years,Governance risk|Capex commissioning|Operating-leverage inflection|Margin-recovery candidate,Mature Stage 1 base,2026-08-10,10.819553160020146,5.889922442605777,22.7,26.0,0.10504823872560018,Mar 2022-Mar 2026,1.0937056059447055,Trailing P/E vs 3-5y EPS CAGR (preliminary),10.8,80.8,dividend yield 3.6%; FCF positive in 5 of last 5 years,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,PETRONET-SCR-01|PETRONET-PXW-01,High,"Is the dividend covered by normalised FCF after maintenance capex, not by peak earnings? | What structural-decline risk exists in the core end-market? | Is management willing to keep returning capital, on what stated policy?",Annual report cash-flow statement and dividend policy; quarterly results; capex guidance,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Waaree Renewable Technologies Ltd,WAAREERTL,NSE,Main Board,Capital Goods,Capital Goods,911.0,2026-08-10,9503.0,2026-08-10,3-month median daily traded value,18.706,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 112%; 3y EPS CAGR 105%; latest quarter revenue +42% YoY,Earnings-upgrade candidate|Capex commissioning,Stage 4 decline,2026-08-10,203.1979468476148,,83.6,84.0,0.15631691648822268,Mar 2022-Mar 2026,0.9007633587786259,Trailing P/E vs 3-5y EPS CAGR (preliminary),18.7,80.7,3y revenue CAGR 112%; 3y EPS CAGR 105%; latest quarter revenue +42% YoY,Technically in Stage 4 decline,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,WAAREERTL-SCR-01|WAAREERTL-PXW-01,High,"Is forward growth contracted/visible or extrapolated from a favourable base? | Do unit economics hold as mix shifts, and is growth funded without dilution? | How much of EPS growth is operating vs. below-the-line or tax-rate driven?",Last 4 quarterly results; latest investor presentation; earnings-call transcripts; annual report share-capital and ESOP notes,5y EPS CAGR not computable (negative or zero base year); nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,National Aluminium Company Ltd,NATIONALUM,NSE,Main Board,Metals & Mining,Metals & Mining,383.0,2026-08-10,70287.0,2026-08-10,3-month median daily traded value,343.667,13-week median of weekly traded value / 5,1,,,Mature value/yield company,dividend yield 3.0%; FCF positive in 4 of last 5 years,Capex commissioning|Peak-cycle risk,Early Stage 2,2026-08-10,14.781199279405822,34.87874494047731,39.6,34.0,0.002777392028884877,Mar 2022-Mar 2026,1.1370491427260738,Trailing P/E vs 3-5y EPS CAGR (preliminary),10.4,80.3,dividend yield 3.0%; FCF positive in 4 of last 5 years,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NATIONALUM-SCR-01|NATIONALUM-PXW-01,High,"Is the dividend covered by normalised FCF after maintenance capex, not by peak earnings? | What structural-decline risk exists in the core end-market? | Is management willing to keep returning capital, on what stated policy?",Annual report cash-flow statement and dividend policy; quarterly results; capex guidance,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,R Systems International Ltd,RSYSTEMS,NSE,Main Board,Not disclosed,Not disclosed,246.0,2026-08-10,2902.0,2026-08-10,3-month median daily traded value,8.282,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 26%; 5y revenue CAGR 17%; 5y EPS CAGR 18%; cumulative CFO/PAT 1.15,Demerger/SOTP unlocking|Governance risk|Earnings-upgrade candidate|Operating-leverage inflection|Peak-cycle risk,Stage 4 decline,2026-08-10,17.31873075811936,18.123015193169746,19.5,26.0,0.3360655737704918,Dec 2021-Dec 2025,1.1504065040650406,Trailing P/E vs 3-5y EPS CAGR (preliminary),13.8,80.3,5y median ROCE 26%; 5y revenue CAGR 17%; 5y EPS CAGR 18%; cumulative CFO/PAT 1.15,Technically in Stage 4 decline,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,RSYSTEMS-SCR-01|RSYSTEMS-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
2026-08-11,Elgi Equipments Ltd,ELGIEQUIP,NSE,Main Board,Capital Goods,Capital Goods,583.0,2026-08-10,18484.0,2026-08-10,3-month median daily traded value,17.903,13-week median of weekly traded value / 5,1,,,Quality compounder,5y median ROCE 22%; 5y revenue CAGR 15%; 5y EPS CAGR 33%; cumulative CFO/PAT 0.83,Demerger/SOTP unlocking|Earnings-upgrade candidate|Capex commissioning|PEAD candidate|Peak-cycle risk,Early Stage 2,2026-08-10,15.478302806434519,33.252530476782425,22.1,22.0,0.23879928315412186,Mar 2022-Mar 2026,0.8318098720292505,Trailing P/E vs 3-5y EPS CAGR (preliminary),47.5,79.7,5y median ROCE 22%; 5y revenue CAGR 15%; 5y EPS CAGR 33%; cumulative CFO/PAT 0.83,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,ELGIEQUIP-SCR-01|ELGIEQUIP-PXW-01,High,"Is the 5y median ROCE sustained on incremental capital, or inflated by a legacy asset base? | What is the reinvestment runway, and has capital allocation stayed inside the core? | Does cumulative CFO/PAT hold above 0.8 once working-capital swings are normalised?",Latest annual report (MD&A + segment note); last 4 quarterly results; latest investor presentation; last 2 earnings-call transcripts,nan; EPS not normalised for exceptional items at Phase 1 - reported basis only
